"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","110"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","317"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","54"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1493-13a3-e055-000000000001","Mayo  County Council","Number","247"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","129"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","130"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","128"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","266"
"FY006AC01","Population","2022","2022","2","Female","086","86 years","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","99"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","IE0","Ireland","Number","6766"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","62"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","908"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","448"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","249"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","271"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","201"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","171"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","93"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","65"
